,date,district,site_code,product_code,pred_share_districtlev,agg_level
14324,2016-01-01,SIKENSI,C1098,AS27137,0.08155533794103302,district
26460,2016-01-01,TIEBISSOU,C2068,AS46000,0.07341636925536936,district
11574,2016-01-01,GRAND-BASSAM,C1087,AS27000,0.6245799502321947,district
34391,2016-01-01,BOUNA,C4018,AS27139,0.0,district
32742,2016-01-01,BONDOUKOU,C4002,AS27132,0.5,district
11619,2016-01-01,GRAND-BASSAM,C1087,AS27132,0.23456282858185656,district
14144,2016-01-01,SIKENSI,C1098,AS27000,0.5945219915896701,district
38256,2016-01-01,ODIENNE,C5003,AS27137,0.41442589335766045,district
23030,2016-01-01,ISSIA,C2056,AS17005,0.1,district
25965,2016-01-01,TABOU,C2066,AS27138,0.05565717758545617,district
11709,2016-01-01,GRAND-BASSAM,C1087,AS27134,0.3933029765693991,district
14101,2016-01-01,SIKENSI,C1098,AS17005,0.0,district
29213,2016-01-01,DABAKALA,C3011,AS27138,0.05565717758545617,district
37225,2016-01-01,BONGOUANOU,C4054,AS46000,0.06572958931927278,district
23077,2016-01-01,ISSIA,C2056,AS27000,0.8236738940951502,district
11664,2016-01-01,GRAND-BASSAM,C1087,AS27133,0.061749593852927144,district
11523,2016-01-01,GRAND-BASSAM,C1087,AS17005,0.0,district
24647,2016-01-01,SAKASSOU,C2062,AS27138,0.20625,district
14189,2016-01-01,SIKENSI,C1098,AS27132,0.24680018936984077,district
34532,2016-01-01,DAOUKRO,C4019,AS27132,0.08836723503880085,district
11350,2016-01-01,COCODY-BINGERVILLE,C1086,AS27133,0.07207919030454463,district
27594,2016-01-01,KORHOGO,C2127,AS27134,0.11278614138475099,district
38301,2016-01-01,ODIENNE,C5003,AS27138,0.05565717758545617,district
24692,2016-01-01,SAKASSOU,C2062,AS27139,0.0,district
32787,2016-01-01,BONDOUKOU,C4002,AS27133,0.8,district
11395,2016-01-01,COCODY-BINGERVILLE,C1086,AS27134,0.3665896896687531,district
33631,2016-01-01,BONGOUANOU,C4016,AS27133,0.0510041587364742,district
14234,2016-01-01,SIKENSI,C1098,AS27133,0.07590249315107292,district
11478,2016-01-01,COCODY-BINGERVILLE,C1086,AS27138,0.05565717758545617,district
31657,2016-01-01,NIAKARAMADOUGOU,C3022,AS27132,0.2983085479775891,district
3383,2016-01-01,ABOBO-EST,C1026,AS27134,0.15786736438119098,district
26466,2016-01-01,TOUMODI,C2069,AS27000,0.8078568522826413,district
1343,2016-01-01,ABOBO-EST,C1011,AS27000,0.14672713689998812,district
27639,2016-01-01,KORHOGO,C2127,AS27137,0.17869388730654373,district
23122,2016-01-01,ISSIA,C2056,AS27132,1.0,district
31612,2016-01-01,NIAKARAMADOUGOU,C3022,AS27000,0.5695037248916093,district
11754,2016-01-01,GRAND-BASSAM,C1087,AS27137,0.08155533794103302,district
24602,2016-01-01,SAKASSOU,C2062,AS27137,0.10191082802547771,district
6846,2016-01-01,ADJAME-PLATEAU-ATTECOUBE,C1059,AS27132,0.10990532137811351,district
23212,2016-01-01,ISSIA,C2056,AS27134,0.3689773252419714,district
31591,2016-01-01,KORHOGO,C3021,AS27138,0.058439992119273906,district
32697,2016-01-01,BONDOUKOU,C4002,AS27000,0.7995339656162469,district
32689,2016-01-01,ABENGOUROU,C4001,AS46000,0.07986544205971999,district
13957,2016-01-01,SASSANDRA,C1095,AS27137,0.36666666666666664,district
5225,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1035,AS27000,0.09618046662807338,district
26010,2016-01-01,TABOU,C2066,AS27139,0.0,district
32688,2016-01-01,ABENGOUROU,C4001,AS27139,0.0,district
6801,2016-01-01,ADJAME-PLATEAU-ATTECOUBE,C1059,AS27000,0.09634370076445019,district
31584,2016-01-01,KORHOGO,C3021,AS27137,0.11371171846206032,district
11924,2016-01-01,GRAND-BASSAM,C1087,AS46000,0.07986544205971999,district
23257,2016-01-01,ISSIA,C2056,AS27137,0.9143047218887557,district
13912,2016-01-01,SASSANDRA,C1095,AS27134,0.4774068633700089,district
18956,2016-01-01,SEGUELA,C2008,AS27138,0.07002168910522324,district
24512,2016-01-01,SAKASSOU,C2062,AS27133,0.523601552496799,district
14279,2016-01-01,SIKENSI,C1098,AS27134,0.29232480386629844,district
31598,2016-01-01,KORHOGO,C3021,AS27139,0.0,district
27766,2016-01-01,GUEYO,C2131,AS27000,0.7746724799927838,district
33676,2016-01-01,BONGOUANOU,C4016,AS27134,0.30784096434623426,district
24557,2016-01-01,SAKASSOU,C2062,AS27134,1.0,district
19044,2016-01-01,SEGUELA,C2008,AS46000,0.07986544205971999,district
11799,2016-01-01,GRAND-BASSAM,C1087,AS27138,0.05565717758545617,district
26395,2016-01-01,TIEBISSOU,C2068,AS27139,0.0,district
23167,2016-01-01,ISSIA,C2056,AS27133,0.5122802925840955,district
3338,2016-01-01,ABOBO-EST,C1026,AS27133,0.6788078382773738,district
11844,2016-01-01,GRAND-BASSAM,C1087,AS27139,0.0,district
31604,2016-01-01,NIAKARAMADOUGOU,C3022,AS17005,0.0,district
1247,2016-01-01,ABOBO-EST,C1010,AS27137,0.22153602596936467,district
38218,2016-01-01,ODIENNE,C5003,AS27134,0.2795207216904458,district
31602,2016-01-01,KORHOGO,C3021,AS46000,0.07231866014192026,district
6891,2016-01-01,ADJAME-PLATEAU-ATTECOUBE,C1059,AS27133,0.08387110874472391,district
31600,2016-01-01,KORHOGO,C3021,AS42018,0.0,district
19001,2016-01-01,SEGUELA,C2008,AS27139,0.0,district
37929,2016-01-01,GUIGLO,C5002,AS27133,0.061749593852927144,district
1388,2016-01-01,ABOBO-EST,C1011,AS27132,0.12669965373003306,district
29737,2016-01-01,KATIOLA,C3013,AS27137,0.9939393939393939,district
11305,2016-01-01,COCODY-BINGERVILLE,C1086,AS27132,0.2250640259832568,district
36078,2016-01-01,PRIKRO,C4025,AS46000,0.07327637123707252,district
19844,2016-01-01,BOUAFLE,C2011,AS27134,0.8988095238095237,district
25875,2016-01-01,TABOU,C2066,AS27134,0.5187060460375414,district
26601,2016-01-01,TOUMODI,C2069,AS27134,0.3217720737038139,district
22463,2016-01-01,GAGNOA,C2053,AS27133,0.2743706329807564,district
4682,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1030,AS27000,0.13241696042386164,district
19799,2016-01-01,BOUAFLE,C2011,AS27133,0.3363636363636363,district
19785,2016-01-01,BOUAFLE,C2011,AS27132,0.9,district
7696,2016-01-01,ADJAME-PLATEAU-ATTECOUBE,C1062,AS46000,0.07015817896658046,district
31697,2016-01-01,NIAKARAMADOUGOU,C3022,AS27133,0.061749593852927144,district
22508,2016-01-01,GAGNOA,C2053,AS27134,0.21901206128701603,district
4727,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1030,AS27132,0.16985557445678567,district
10966,2016-01-01,ANYAMA,C1084,AS27000,0.731272822806379,district
3473,2016-01-01,ABOBO-EST,C1026,AS27138,0.015373134318202527,district
1511,2016-01-01,ABOBO-EST,C1011,AS27137,0.15901275417297261,district
25013,2016-01-01,SOUBRE,C2064,AS17005,0.0,district
14459,2016-01-01,SIKENSI,C1098,AS46000,0.07384925447790339,district
38346,2016-01-01,ODIENNE,C5003,AS27139,0.0,district
29557,2016-01-01,KATIOLA,C3013,AS27000,0.7805011106029578,district
34162,2016-01-01,BOUNA,C4018,AS27000,0.7995339656162469,district
4547,2016-01-01,COCODY-BINGERVILLE,C1029,AS27139,0.0,district
34577,2016-01-01,DAOUKRO,C4019,AS27133,0.05855094065427394,district
19934,2016-01-01,BOUAFLE,C2011,AS27138,0.2654761904761905,district
26646,2016-01-01,TOUMODI,C2069,AS27137,0.499098212907401,district
35802,2016-01-01,PRIKRO,C4025,AS27000,0.7805011106029578,district
10785,2016-01-01,ALEPE,C1083,AS27133,0.1690697687363257,district
33451,2016-01-01,AKOUPE,C4015,AS27134,0.3748171185043685,district
3518,2016-01-01,ABOBO-EST,C1026,AS27139,0.3,district
32877,2016-01-01,BONDOUKOU,C4002,AS27137,0.6137785025300443,district
22291,2016-01-01,TOUMODI,C2052,AS27133,0.07590249315107292,district
29168,2016-01-01,DABAKALA,C3011,AS27137,0.08496995922221752,district
19889,2016-01-01,BOUAFLE,C2011,AS27137,0.8247007894066718,district
22336,2016-01-01,TOUMODI,C2052,AS27134,0.3431344794140457,district
25046,2016-01-01,SOUBRE,C2064,AS27000,0.7436653792847716,district
36148,2016-01-01,TANDA,C4026,AS27132,0.796096077051247,district
1202,2016-01-01,ABOBO-EST,C1010,AS27134,0.27110013786761233,district
35890,2016-01-01,PRIKRO,C4025,AS27133,0.05855094065427394,district
35978,2016-01-01,PRIKRO,C4025,AS27137,0.12458187760970629,district
24772,2016-01-01,SAKASSOU,C2062,AS46000,0.10625,district
36068,2016-01-01,PRIKRO,C4025,AS27139,0.0,district
31130,2016-01-01,NIAKARAMADOUGOU,C3019,AS27138,0.14656626849454707,district
7425,2016-01-01,ADJAME-PLATEAU-ATTECOUBE,C1062,AS27132,0.14424218302364072,district
37842,2016-01-01,GUIGLO,C5002,AS27000,0.9339827715426239,district
11191,2016-01-01,ANYAMA,C1084,AS27138,0.2430072714778902,district
3428,2016-01-01,ABOBO-EST,C1026,AS27137,0.12551998211879983,district
4862,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1030,AS27137,0.15481400103686171,district
7380,2016-01-01,ADJAME-PLATEAU-ATTECOUBE,C1062,AS27000,0.22872846803300173,district
36283,2016-01-01,TANDA,C4026,AS27137,0.03453724040657504,district
7373,2016-01-01,ADJAME-PLATEAU-ATTECOUBE,C1062,AS17005,0.0,district
11260,2016-01-01,COCODY-BINGERVILLE,C1086,AS27000,0.7686817391283193,district
26511,2016-01-01,TOUMODI,C2069,AS27132,0.13394286919062867,district
36103,2016-01-01,TANDA,C4026,AS27000,0.2777777777777778,district
25920,2016-01-01,TABOU,C2066,AS27137,0.1404415080476141,district
27549,2016-01-01,KORHOGO,C2127,AS27133,0.06453240838674487,district
7650,2016-01-01,ADJAME-PLATEAU-ATTECOUBE,C1062,AS27139,0.0,district
7470,2016-01-01,ADJAME-PLATEAU-ATTECOUBE,C1062,AS27133,0.12348933076039718,district
19694,2016-01-01,BOUAFLE,C2011,AS17005,0.1,district
